HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
1804	CD52	CD52 molecule	Approved	CDW52	HE5, EDDM5	1p36.11		NM_001803	CD	CD molecules	471
1686	CD53	CD53 molecule	Approved	MOX44	TSPAN25	1p13.3	BC040693	NM_000560	CD	CD molecules	471
2665	CD55	CD55 molecule (Cromer blood group)	Approved	DAF	CR, TC, CROM	1q32.2	BC001288	NM_000574	CD	CD molecules	471
1688	CD58	CD58 molecule	Approved	LFA3		1p13.1	BC005930	NM_001779	CD	CD molecules	471
1689	CD59	CD59 molecule (CD59 blood group)	Approved	MIC11, MIN1, MSK21, MIN2, MIN3	16.3A5, EJ16, EJ30, EL32, G344, p18-20	11p13		NM_203329	CD	CD molecules	471
1691	CD6	CD6 molecule	Approved		Tp120	11q12.2		NM_006725	CD	CD molecules	471
1692	CD63	CD63 molecule	Approved	MLA1	ME491, TSPAN30	12q13.2	M58485		CD	CD molecules	471
1693	CD68	CD68 molecule	Approved		SCARD1, macrosialin, GP110, DKFZp686M18236, LAMP4	17p13.1	S57235	NM_001251	CD	CD molecules	471
1694	CD69	CD69 molecule	Approved		CLEC2C	12p13.31	Z22576		CD	CD molecules	471
1695	CD7	CD7 molecule	Approved		GP40, LEU-9, TP41, Tp40	17q25.3	X06180	NM_006137	CD	CD molecules	471
11937	CD70	CD70 molecule	Approved	CD27LG, TNFSF7	CD27L	19p13.3	L08096		CD	CD molecules	471
1696	CD72	CD72 molecule	Approved		LYB2, CD72b	9p13.3		NM_001782	CD	CD molecules	471
1697	CD74	CD74 molecule	Approved	DHLAG		5q33.1		NM_004355	CD	CD molecules	471
1698	CD79A	CD79a molecule	Approved	IGA	MB-1	19q13.2	M80462		CD	CD molecules	471
1699	CD79B	CD79b molecule	Approved	IGB	B29	17q23.3	L27587		CD	CD molecules	471
1700	CD80	CD80 molecule	Approved	CD28LG, CD28LG1	B7.1, B7-1	3q13.33		NM_005191	CD	CD molecules	471
1701	CD81	CD81 molecule	Approved	TAPA1	TAPA-1, TSPAN28	11p15.5		NM_004356	CD	CD molecules	471
6210	CD82	CD82 molecule	Approved	ST6, KAI1	R2, IA4, TSPAN27	11p11.2	U20770	NM_002231	CD	CD molecules	471
1703	CD83	CD83 molecule	Approved		HB15, BL11	6p23	Z11697		CD	CD molecules	471
1704	CD84	CD84 molecule	Approved		SLAMF5, hCD84, mCD84	1q23.3	AF054816	NM_003874	CD	CD molecules	471
1705	CD86	CD86 molecule	Approved	CD28LG2	B7.2, B7-2	3q13.33		NM_006889	CD	CD molecules	471
1706	CD8A	CD8a molecule	Approved	CD8		2p11.2		NM_001768	CD	CD molecules	471
1707	CD8B	CD8b molecule	Approved	CD8B1		2p11.2		NM_172099	CD	CD molecules	471
1709	CD9	CD9 molecule	Approved	MIC3	BA2, P24, TSPAN29, MRP-1	12p13.31	M38690		CD	CD molecules	471
15855	CD93	CD93 molecule	Approved	MXRA4, C1QR1	C1qRP, C1qR(P), dJ737E23.1, CDw93, ECSM3	20p11.21	U94333	NM_012072	CD	CD molecules	471
16892	CD96	CD96 molecule	Approved		TACTILE	3q13.13-q13.2	M88282		CD	CD molecules	471
7082	CD99	CD99 molecule (Xg blood group)	Approved	MIC2		Xp22.32 and Yp11.3	M16279	NM_001122898	CD	CD molecules	471
24357	CDCP1	CUB domain containing protein 1	Approved		CD318, SIMA135	3p21.31	AF468010	NM_022842	CD	CD molecules	471
1748	CDH1	cadherin 1	Approved	UVO	uvomorulin, CD324	16q22.1	L08599	NM_004360	CD	CD molecules	471
1759	CDH2	cadherin 2	Approved	NCAD	CDHN, CD325	18q12.1	S42303	NM_001792	CD	CD molecules	471
1764	CDH5	cadherin 5	Approved		7B4, CD144	16q21	X79981	NM_001795	CD	CD molecules	471
1814	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	Approved	BGP	BGP1, CD66a	19q13.2	M72238	NM_001712	CD	CD molecules	471
1815	CEACAM3	carcinoembryonic antigen related cell adhesion molecule 3	Approved	CGM1	CD66d	19q13.2	E03349	NM_001815	CD	CD molecules	471
1817	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5	Approved	CEA	CD66e	19q13.2	M17303	NM_004363	CD	CD molecules	471
1818	CEACAM6	carcinoembryonic antigen related cell adhesion molecule 6	Approved	NCA	CD66c	19q13.2	M29541		CD	CD molecules	471
1820	CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8	Approved	CGM6	CD66b	19q13.2	D90064		CD	CD molecules	471
16916	CLEC10A	C-type lectin domain containing 10A	Approved	CLECSF13, CLECSF14	HML2, HML, CD301	17p13.1	D50532	NM_006344	CD	CD molecules	471
13257	CLEC4A	C-type lectin domain family 4 member A	Approved	CLECSF6	DCIR, DDB27, CD367	12p13.31	AJ133532	NM_194450	CD	CD molecules	471
13258	CLEC4C	C-type lectin domain family 4 member C	Approved	CLECSF11, CLECSF7	HECL, DLEC, BDCA2, CD303	12p13.31	AF325460	NM_203503	CD	CD molecules	471
14554	CLEC4D	C-type lectin domain family 4 member D	Approved	CLECSF8	Mpcl, CD368, MCL, Dectin-3	12p13.31	AF411850	NM_080387	CD	CD molecules	471
13523	CLEC4M	C-type lectin domain family 4 member M	Approved	CD209L, CD299	HP10347, DC-SIGNR, LSIGN, DCSIGNR, DC-SIGN2	19p13.2	AB015629	NM_014257	CD	CD molecules	471
14558	CLEC7A	C-type lectin domain containing 7A	Approved	CLECSF12	dectin-1, hDectin-1, CD369, SCARE2	12p13.2	AY009090	NM_197954	CD	CD molecules	471
26705	CLEC9A	C-type lectin domain containing 9A	Approved		UNQ9341, HEEE9341, CD370, DNGR-1	12p13.2		NM_207345	CD	CD molecules	471
2334	CR1	complement C3b/C4b receptor 1 (Knops blood group)	Approved		CD35, KN	1q32.2	Y00816	NM_000573	CD	CD molecules	471
2336	CR2	complement C3d receptor 2	Approved		CD21, C3DR	1q32.2	M26004	NM_001877	CD	CD molecules	471
24313	CRTAM	cytotoxic and regulatory T cell molecule	Approved		CD355	11q24.1	AF001622	NM_019604	CD	CD molecules	471
2433	CSF1R	colony stimulating factor 1 receptor	Approved	FMS	C-FMS, CSFR, CD115	5q32	U63963	NM_005211	CD	CD molecules	471
2435	CSF2RA	colony stimulating factor 2 receptor alpha subunit	Approved	CSF2R	CD116, alphaGMR	Xp22.32 and Yp11.3	M64445		CD	CD molecules	471
2436	CSF2RB	colony stimulating factor 2 receptor beta common subunit	Approved	IL3RB	IL5RB, CD131, betaGMR	22q12.3	M59941	NM_000395	CD	CD molecules	471
2439	CSF3R	colony stimulating factor 3 receptor	Approved	CD114	GCSFR	1p34.3	M59820	NM_156039	CD	CD molecules	471
2505	CTLA4	cytotoxic T-lymphocyte associated protein 4	Approved	CELIAC3, IDDM12	CD152, CD, GSE	2q33.2		NM_005214	CD	CD molecules	471
6026	CXCR1	C-X-C motif chemokine receptor 1	Approved	CMKAR1, IL8RA	CKR-1, CDw128a, CD181	2q35	U11870	NM_000634	CD	CD molecules	471
6027	CXCR2	C-X-C motif chemokine receptor 2	Approved	IL8RB	CMKAR2, CD182	2q35	U11869	NM_001557	CD	CD molecules	471
4540	CXCR3	C-X-C motif chemokine receptor 3	Approved	GPR9	CKR-L2, CMKAR3, IP10-R, MigR, CD183	Xq13.1	U32674		CD	CD molecules	471
2561	CXCR4	C-X-C motif chemokine receptor 4	Approved		LESTR, NPY3R, HM89, NPYY3R, D2S201E, fusin, HSY3RR, NPYR, CD184	2q22.1	AF005058		CD	CD molecules	471
1060	CXCR5	C-X-C motif chemokine receptor 5	Approved	BLR1	MDR15, CD185	11q23.3	X68829	NM_001716	CD	CD molecules	471
16647	CXCR6	C-X-C motif chemokine receptor 6	Approved		TYMSTR, STRL33, BONZO, CD186	3p21.31	AF007545		CD	CD molecules	471
2730	DDR1	discoidin domain receptor tyrosine kinase 1	Approved	NTRK4, PTK3A, NEP, CAK, EDDR1	RTK6, CD167	6p21.33	X99031	NM_013994	CD	CD molecules	471
3009	DPP4	dipeptidyl peptidase 4	Approved	CD26, ADCP2	DPPIV	2q24.2	M74777		CD	CD molecules	471
3349	ENG	endoglin	Approved	ORW1, ORW	END, HHT1, CD105	9q34.11	AF035753		CD	CD molecules	471
3355	ENPEP	glutamyl aminopeptidase	Approved		gp160, CD249	4q25	L12468		CD	CD molecules	471
3358	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	Approved	PDNP3	PD-IBETA, gp130RB13-6, B10, CD203c	6q23.2	AF005632		CD	CD molecules	471
3363	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	Approved	CD39	NTPDase-1, ATPDase, SPG64	10q24.1	S73813	NM_001776	CD	CD molecules	471
11529	EPCAM	epithelial cell adhesion molecule	Approved	M4S1, MIC18, TACSTD1	Ly74, TROP1, GA733-2, EGP34, EGP40, EGP-2, KSA, CD326, Ep-CAM, HEA125, KS1/4, MK-1, MH99, MOC31, 323/A3, 17-1A, TACST-1, CO-17A, ESA	2p21	M33011		CD	CD molecules	471
3430	ERBB2	erb-b2 receptor tyrosine kinase 2	Approved	NGL	NEU, HER-2, CD340, HER2	17q12	X03363	NM_004448	CD	CD molecules	471
3500	EVI2B	ecotropic viral integration site 2B	Approved		D17S376, EVDB, CD361	17q11.2		NM_006495	CD	CD molecules	471
14685	F11R	F11 receptor	Approved	JAM1	PAM-1, JCAM, JAM-1, JAM-A, JAMA, CD321	1q23.3	AF111713	NM_016946	CD	CD molecules	471
3541	F3	coagulation factor III, tissue factor	Approved		CD142, TF	1p21.3	BC011029	NM_001993	CD	CD molecules	471
11920	FAS	Fas cell surface death receptor	Approved	FAS1, APT1, TNFRSF6	CD95, APO-1	10q23.31	M67454		CD	CD molecules	471
11936	FASLG	Fas ligand	Approved	APT1LG1, TNFSF6	FasL, CD178	1q24.3	U11821		CD	CD molecules	471
24692	FCAMR	Fc fragment of IgA and IgM receptor	Approved		FKSG87, FCA/MR, CD351	1q32.1	AF354295	NM_032029	CD	CD molecules	471
3608	FCAR	Fc fragment of IgA receptor	Approved		CD89	19q13.42	X54150	NM_002000	CD	CD molecules	471
3612	FCER2	Fc fragment of IgE receptor II	Approved	CD23A, FCE2	CLEC4J, CD23	19p13.2	M15059	NM_002002	CD	CD molecules	471
3613	FCGR1A	Fc fragment of IgG receptor Ia	Approved		CD64, CD64A	1q21.2	BC032634	NM_000566	CD	CD molecules	471
3616	FCGR2A	Fc fragment of IgG receptor IIa	Approved	FCG2, FCGR2A1, FCGR2	CD32, CD32A, IGFR2, CDw32	1q23.3	J03619	NM_021642	CD	CD molecules	471
3618	FCGR2B	Fc fragment of IgG receptor IIb	Approved	FCG2, FCGR2	CD32, CD32B	1q23.3	BC031992	NM_004001	CD	CD molecules	471
15626	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)	Approved		hFcRII-C, CD32C	1q23.3	X17653	NM_201563	CD	CD molecules	471
3619	FCGR3A	Fc fragment of IgG receptor IIIa	Approved	FCGR3, FCG3	CD16, CD16a	1q23.3	BC036723	NM_000569	CD	CD molecules	471
3620	FCGR3B	Fc fragment of IgG receptor IIIb	Approved	FCGR3, FCG3	CD16, CD16b	1q23.3	J04162	NM_000570	CD	CD molecules	471
18509	FCRL1	Fc receptor like 1	Approved		FCRH1, IRTA5, IFGP1, CD307a	1q23.1	BC033690	NM_052938	CD	CD molecules	471
14875	FCRL2	Fc receptor like 2	Approved	SPAP1	FCRH2, IRTA4, CD307b	1q23.1	AF319438	NM_030764	CD	CD molecules	471
18506	FCRL3	Fc receptor like 3	Approved		FCRH3, IRTA3, IFGP3, SPAP2a, SPAP2, SPAP2b, SPAP2c, SPAP2d, SPAP2e, CD307c	1q23.1	AF459027	NM_052939	CD	CD molecules	471
18507	FCRL4	Fc receptor like 4	Approved		FCRH4, IRTA1, IGFP2, CD307d	1q23.1	AF343661	NM_031282	CD	CD molecules	471
18508	FCRL5	Fc receptor like 5	Approved		FCRH5, IRTA2, BXMAS1, CD307e	1q23.1	AF369794	NM_031281	CD	CD molecules	471
3688	FGFR1	fibroblast growth factor receptor 1	Approved	FLT2, KAL2	H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331	8p11.23	M34185		CD	CD molecules	471
3689	FGFR2	fibroblast growth factor receptor 2	Approved	KGFR, BEK, CFD1, JWS	CEK3, TK14, TK25, ECT1, K-SAM, CD332	10q26.13	AK026508	NM_022976, NM_000141	CD	CD molecules	471
3690	FGFR3	fibroblast growth factor receptor 3	Approved	ACH	CEK2, JTK4, CD333	4p16.3	M64347	NM_000142	CD	CD molecules	471
3691	FGFR4	fibroblast growth factor receptor 4	Approved		JTK2, CD334	5q35.2	AF202063		CD	CD molecules	471
3765	FLT3	fms related tyrosine kinase 3	Approved		STK1, FLK2, CD135	13q12.2	U02687		CD	CD molecules	471
4014	FUT3	fucosyltransferase 3 (Lewis blood group)	Approved	LE	CD174	19p13.3		NM_000149	CD	CD molecules	471
4015	FUT4	fucosyltransferase 4	Approved	CD15, FCT3A, ELFT	FUC-TIV	11q21		NM_002033	CD	CD molecules	471
4039	FZD10	frizzled class receptor 10	Approved		CD350	12q24.33	AB027464		CD	CD molecules	471
4042	FZD4	frizzled class receptor 4	Approved	EVR1	CD344	11q14.2	AB032417	NM_012193	CD	CD molecules	471
4047	FZD9	frizzled class receptor 9	Approved		FZD3, CD349	7q11.23	U82169		CD	CD molecules	471
4250	GGT1	gamma-glutamyltransferase 1	Approved	GGT	D22S672, D22S732, CD224	22q11.23	M24903	NM_013430	CD	CD molecules	471
4439	GP1BA	glycoprotein Ib platelet alpha subunit	Approved	GP1B	CD42b, GPIbalpha	17p13.2			CD	CD molecules	471
4440	GP1BB	glycoprotein Ib platelet beta subunit	Approved		CD42c, GPIbbeta	22q11.21			CD	CD molecules	471
4443	GP5	glycoprotein V platelet	Approved		CD42d	3q29	L11238	NM_004488	CD	CD molecules	471
4444	GP9	glycoprotein IX platelet	Approved		CD42a, GPIX	3q21.3			CD	CD molecules	471
4702	GYPA	glycophorin A (MNS blood group)	Approved	MNS	GPA, MN, CD235a	4q31.21	M36281	NM_002099	CD	CD molecules	471
4703	GYPB	glycophorin B (MNS blood group)	Approved	MNS	GPB, SS, CD235b	4q31.21		NM_002100	CD	CD molecules	471
4704	GYPC	glycophorin C (Gerbich blood group)	Approved		GPC, GYPD, Ge, CD236, CD236R	2q14.3		NM_002101	CD	CD molecules	471
17866	HAVCR1	hepatitis A virus cellular receptor 1	Approved		HAVCR-1, TIM-1, TIM1, HAVCR, TIMD1, CD365, KIM1	5q33.3	AF043724		CD	CD molecules	471
5012	HMMR	hyaluronan mediated motility receptor	Approved		RHAMM, CD168	5q34	U29343	NM_012484	CD	CD molecules	471
5344	ICAM1	intercellular adhesion molecule 1	Approved		BB2, CD54	19p13.2			CD	CD molecules	471
5345	ICAM2	intercellular adhesion molecule 2	Approved		CD102	17q23.3			CD	CD molecules	471
5346	ICAM3	intercellular adhesion molecule 3	Approved		CDW50, ICAM-R, CD50	19p13.2			CD	CD molecules	471
5347	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	Approved	LW	CD242	19p13.2	X93093	NM_001544	CD	CD molecules	471
5351	ICOS	inducible T cell costimulator	Approved		AILIM, CD278	2q33.2	AB023135	NM_012092	CD	CD molecules	471
17087	ICOSLG	inducible T cell costimulator ligand	Approved	ICOSL	KIAA0653, GL50, B7-H2, B7RP-1, B7H2, B7RP1, ICOS-L, CD275	21q22.3	AB014553	NM_015259	CD	CD molecules	471
5412	IFITM1	interferon induced transmembrane protein 1	Approved	IFI17	9-27, CD225	11p15.5	J04164	NM_003641	CD	CD molecules	471
5439	IFNGR1	interferon gamma receptor 1	Approved	IFNGR	CD119	6q23.3			CD	CD molecules	471
5465	IGF1R	insulin like growth factor 1 receptor	Approved		JTK13, CD221, IGFIR, MGC18216, IGFR	15q26.3	M69229	NM_000875	CD	CD molecules	471
5467	IGF2R	insulin like growth factor 2 receptor	Approved		CD222, MPRI, MPR1, CIMPR, M6P-R, CI-M6PR, CI-MPR, MPR300	6q25.3	J03528	NM_000876	CD	CD molecules	471
5870	IGLL1	immunoglobulin lambda like polypeptide 1	Approved	IGLL	IGVPB, IGL5, 14.1, CD179B	22q11.23	X52204	NM_020070	CD	CD molecules	471
17813	IGSF8	immunoglobulin superfamily member 8	Approved		CD81P3, EWI2, PGRL, CD316	1q23.2	AF407274	NM_052868	CD	CD molecules	471
